,sentiment,metacritic_prediction,metacritic_id
0,positive,1.0,23218
1,negative,0.0,219
2,positive,1.0,2969
3,negative,0.0,28992
4,positive,0.9,522
5,negative,0.2,30446
6,negative,0.9,14906
7,positive,0.9,7319
8,positive,0.8,12084
9,positive,0.75,32679
10,positive,0.8,20281
11,positive,0.3,13740
12,positive,0.9,20765
13,negative,0.3,28618
14,positive,0.8,30854
15,positive,1.0,18578
16,positive,0.8,22147
17,positive,0.9,8045
18,negative,0.2,16433
19,positive,1.0,4605
20,positive,1.0,9945
21,negative,0.1,15267
22,negative,0.2,28117
23,positive,0.1,22457
24,positive,1.0,22324
25,positive,0.8,36820
26,positive,1.0,20247
27,positive,0.1,12086
28,negative,1.0,20247
29,positive,0.9,38014
30,positive,1.0,19458
31,positive,1.0,32662
32,negative,0.8,20368
33,negative,0.0,32036
34,negative,0.8,29438
35,positive,0.2,16433
36,positive,0.8,26821
37,positive,0.8,18701
38,negative,0.8,23281
39,negative,0.1,9156
40,negative,0.2,37777
41,positive,0.3,18382
42,negative,0.0,16473
43,positive,0.8,9424
44,positive,0.9,19021
45,positive,0.8,3100
46,negative,0.9,26401
47,negative,0.3,25725
48,negative,0.2,118
49,positive,0.8,10352
50,positive,0.8,38968
51,negative,0.9,38342
52,negative,0.8,1035
53,negative,0.1,3180
54,positive,1.0,11933
55,positive,0.8,19023
56,negative,0.2,20462
57,negative,0.8,31325
58,negative,0.1,13270
59,positive,0.1,35757
60,negative,0.2,30446
61,negative,0.8,15283
62,negative,0.8,9021
63,negative,0.3,13546
64,positive,1.0,28230
65,positive,1.0,2259
66,negative,0.9,305
67,negative,0.3,17451
68,negative,0.2,30446
69,positive,0.0,10272
70,positive,0.8,37265
71,positive,0.8,16881
72,negative,1.0,9194
73,negative,0.1,17693
74,negative,0.3,25964
75,positive,0.8,35435
76,positive,0.8,10386
77,negative,0.2,16433
78,positive,0.9,8294
79,negative,0.0,11551
80,positive,0.0,33395
81,positive,0.9,2298
82,positive,0.9,5852
83,positive,0.8,21950
84,negative,0.8,38582
85,positive,0.8,23470
86,positive,0.9,27165
87,positive,0.9,7076
88,positive,0.2,26575
89,positive,0.8,35592
90,positive,0.9,30795
91,positive,0.3,28618
92,negative,1.0,15185
93,positive,0.8,5249
94,positive,0.3,33595
95,positive,1.0,16711
96,positive,0.8,23023
97,negative,0.2,23680
98,positive,0.91,35734
99,negative,1.0,21785
100,positive,1.0,26625
101,positive,1.0,16167
102,positive,0.2,23680
103,negative,1.0,3554
104,positive,0.9,38958
105,positive,0.8,33831
106,negative,0.3,23269
107,positive,0.8,18801
108,negative,0.2,16433
109,positive,1.0,22549
110,negative,0.3,35854
111,positive,0.1,7459
112,positive,0.1,25021
113,negative,0.0,36575
114,negative,0.1,2837
115,negative,0.1,3180
116,positive,0.8,7195
117,positive,0.9,34249
118,positive,0.9,25962
119,positive,0.1,29578
120,negative,0.2,33684
121,negative,0.3,38834
122,positive,0.9,36225
123,negative,1.0,21674
124,positive,1.0,28369
125,positive,0.9,19021
126,positive,1.0,31028
127,positive,1.0,23435
128,positive,1.0,26692
129,negative,0.1,12086
130,positive,1.0,38996
131,negative,0.8,5918
132,negative,0.8,14053
133,positive,0.8,31547
134,positive,0.9,18407
135,negative,0.3,27117
136,negative,0.8,35592
137,negative,1.0,25983
138,negative,1.0,27327
139,positive,1.0,37370
140,positive,1.0,1954
141,negative,0.2,118
142,positive,0.2,22641
143,positive,1.0,28544
144,positive,0.9,21361
145,negative,1.0,20619
146,negative,0.1,3440
147,positive,0.3,33788
148,negative,0.9,10324
149,negative,0.2,30446
150,positive,1.0,15230
151,negative,0.0,4123
152,positive,0.1,23414
153,positive,1.0,22304
154,positive,0.1,4961
155,positive,0.8,11279
156,positive,0.9,31585
157,positive,0.8,2109
158,negative,0.2,23680
159,positive,1.0,1258
160,negative,0.8,8129
161,positive,0.89,6191
162,negative,0.0,14643
163,positive,1.0,16062
164,positive,0.8,36820
165,negative,1.0,25983
166,negative,1.0,14464
167,positive,1.0,14827
168,negative,0.8,38388
169,negative,0.3,35534
170,positive,0.9,30295
171,positive,1.0,2954
172,negative,1.0,37925
173,negative,0.0,7180
174,positive,0.0,22574
175,positive,0.9,37321
176,positive,0.9,2902
177,positive,1.0,10533
178,negative,0.8,33041
179,negative,0.9,14780
180,negative,0.9,8294
181,positive,0.1,6729
182,positive,1.0,37370
183,negative,0.8,38388
184,negative,0.9,25482
185,negative,0.2,25874
186,negative,0.8,35435
187,positive,0.3,27913
188,positive,1.0,23218
189,positive,0.8,7047
190,positive,0.9,21446
191,positive,0.3,5749
192,positive,1.0,18763
193,positive,1.0,440
194,positive,0.1,21851
195,positive,1.0,16711
196,positive,0.8,17397
197,negative,1.0,22734
198,positive,0.8,31526
199,positive,0.8,12720
200,positive,1.0,18763
201,negative,0.1,12086
202,positive,0.3,38834
203,negative,0.88,4731
204,negative,0.2,23680
205,negative,0.0,32036
206,negative,0.83,14340
207,negative,0.0,12486
208,positive,0.8,11866
209,positive,0.0,13155
210,negative,0.2,13458
211,negative,1.0,26886
212,negative,1.0,10773
213,negative,0.0,1719
214,negative,0.1,30252
215,positive,1.0,1758
216,positive,0.9,19348
217,negative,0.0,26832
218,negative,0.0,35210
219,negative,1.0,37484
220,negative,0.0,38823
221,positive,0.8,11503
222,negative,0.75,22918
223,positive,1.0,21629
224,negative,0.1,36354
225,negative,0.2,22641
226,negative,0.2,26167
227,negative,0.8,19637
228,negative,1.0,28230
229,positive,1.0,30286
230,negative,0.9,9067
231,positive,0.8,20927
232,positive,1.0,28252
233,positive,1.0,3788
234,positive,1.0,37246
235,positive,0.9,35714
236,positive,0.9,4091
237,negative,0.2,16433
238,negative,0.1,3180
239,negative,0.0,3735
240,positive,0.9,305
241,positive,0.9,25962
242,positive,1.0,23541
243,positive,0.8,14193
244,positive,0.8,7499
245,negative,0.2,11633
246,positive,0.0,2526
247,positive,0.2,18246
248,positive,0.75,35745
249,positive,0.9,19220
250,positive,0.8,26443
251,positive,0.9,3189
252,negative,0.0,32036
253,negative,0.8,18832
254,positive,1.0,27127
255,positive,0.9,31205
256,negative,1.0,31805
257,negative,0.0,825
258,negative,0.0,11551
259,positive,1.0,16928
260,negative,0.9,9523
261,negative,0.9,8294
262,positive,1.0,32264
263,positive,1.0,6978
264,positive,1.0,2216
265,positive,1.0,5563
266,negative,0.1,30252
267,positive,1.0,23513
268,positive,0.0,25243
269,positive,0.3,37750
270,positive,0.8,7047
271,positive,0.2,29696
272,negative,0.3,20659
273,negative,0.3,8355
274,negative,0.8,12970
275,negative,0.8,34917
276,negative,0.3,15678
277,positive,0.8,23865
278,positive,0.8,17156
279,positive,1.0,13051
280,negative,0.2,14653
281,positive,0.2,28554
282,negative,0.0,21968
283,positive,1.0,20247
284,positive,0.8,23281
285,negative,0.8,20151
286,negative,0.0,22574
287,negative,0.0,19257
